sample_id,station_id,latitude,longitude,level_code,tara_nitrate_level,ebi_nitrate_level,darwin_nitrate_level,nitrate_level,tara_temperature,ebi_temperature,temperature,tara_salinity_level,ebi_salinity_level,salinity_level,tara_oxygen_level,ebi_oxygen_level,darwin_oxygen_level,oxygen_level,darwin_alkalinity
TARA_G100018081,TARA_189,77.9464,116.7640,DCM,0.000000,,13.651070,13.651070,-0.764720,,-0.764720,32.993800,,32.993800,379.506300,,377.495330,379.506300,2167.774000
TARA_G100018085,TARA_189,77.9464,116.7640,DCM,0.000000,,13.651070,13.651070,-0.764720,,-0.764720,32.993800,,32.993800,379.506300,,377.495330,379.506300,2167.774000
TARA_G100018091,TARA_189,77.9378,116.8100,SRF,0.000000,,13.566083,13.566083,0.981520,,0.981520,31.170100,,31.170100,348.315500,,377.713600,348.315500,2167.096000
TARA_G100018152,TARA_189,78.0213,116.3720,DCM,0.000000,,13.657272,13.657272,-0.764720,,-0.764720,32.993800,,32.993800,379.506300,,377.392120,379.506300,2168.485000
TARA_G100018250,TARA_193,71.0704,174.9917,SRF,-7.388900,,7.591026,-7.388900,2.453700,,2.453700,29.168600,,29.168600,339.319300,,356.671630,339.319300,2148.629600
TARA_G100018298,TARA_178,77.1604,73.2057,SRF,0.000000,,14.540370,14.540370,0.890890,,0.890890,34.026800,,34.026800,352.713200,,363.899780,352.713200,2180.143000
TARA_G100018312,TARA_178,77.1604,73.2057,SRF,0.000000,,14.540370,14.540370,0.890890,,0.890890,34.026800,,34.026800,352.713200,,363.899780,352.713200,2180.143000
TARA_G100018352,TARA_178,77.3047,73.2462,SRF,0.000000,,14.540370,14.540370,1.496400,,1.496400,34.475200,,34.475200,347.473700,,363.899780,347.473700,2180.143000
TARA_G100018362,TARA_178,77.1625,73.2051,SRF,0.000000,,14.540370,14.540370,1.573000,,1.573000,34.422400,,34.422400,344.917200,,363.899780,344.917200,2180.143000
TARA_G100018393,TARA_180,74.8039,76.0932,SRF,0.000000,,13.792972,13.792972,-1.001800,,-1.001800,29.383500,,29.383500,368.143100,,373.814400,368.143100,2165.417700
